features,tags,dangerscore
amenities,animal_boarding,1
amenities,animal_shelter,1
amenities,arts_centre,1
amenities,atm,2
amenities,baby_hatch,1
amenities,baking_oven,1
amenities,bank,1
amenities,bar,2
amenities,bbq,1
amenities,bench,1
amenities,bicycle_parking,1
amenities,bicycle_rental,1
amenities,bicycle_repair_station,1
amenities,biergarten,2
amenities,boat_rental,1
amenities,boat_sharing,1
amenities,brothel,2
amenities,bureau_de_change,2
amenities,bus_station,2
amenities,cafe,2
amenities,car_rental,1
amenities,car_sharing,1
amenities,car_wash,1
amenities,casino,2
amenities,charging_station,1
amenities,childcare,1
amenities,cinema,2
amenities,clinic,1
amenities,clock,1
amenities,college,3
amenities,community_centre,1
amenities,conference_centre,1
amenities,courthouse,1
amenities,crematorium,1
amenities,dentist,1
amenities,dive_centre,1
amenities,doctors,3
amenities,drinking_water,1
amenities,driving_school,1
amenities,embassy,1
amenities,fast_food,2
amenities,ferry_terminal,1
amenities,fire_station,1
amenities,firepit&action=edit&redlink=1,1
amenities,food_court,2
amenities,fountain,1
amenities,fuel,1
amenities,gambling,2
amenities,give_box,1
amenities,grave_yard,1
amenities,grit_bin,1
amenities,gym,1
amenities,hospital,3
amenities,hunting_stand,1
amenities,ice_cream,2
amenities,internet_cafe,1
amenities,kindergarten,3
amenities,kitchen,1
amenities,kneipp_water_cure,1
amenities,language_school,1
amenities,library,1
amenities,marketplace,2
amenities,monastery,1
amenities,motorcycle_parking,1
amenities,music_school,1
amenities,nightclub,2
amenities,nursing_home,3
amenities,parking,1
amenities,parking_entrance,1
amenities,parking_space,1
amenities,pharmacy,3
amenities,photo_booth,1
amenities,place_of_worship,1
amenities,planetarium,1
amenities,police,1
amenities,post_box,1
amenities,post_depot,1
amenities,post_office,2
amenities,prison,1
amenities,pub,2
amenities,public_bath,1
amenities,public_bookcase,1
amenities,public_building,2
amenities,ranger_station,1
amenities,recycling,1
amenities,restaurant,2
amenities,sanitary_dump_station,2
amenities,sauna,1
amenities,school,3
amenities,shelter,1
amenities,shower,1
amenities,social_centre,2
amenities,social_facility,2
amenities,stripclub,2
amenities,studio,1
amenities,swingerclub,2
amenities,taxi,1
amenities,telephone,1
amenities,theatre,2
amenities,toilets,1
amenities,townhall,2
amenities,toy_library,1
amenities,university,3
amenities,vehicle_inspection,1
amenities,vending_machine,1
amenities,veterinary,1
amenities,waste_basket,1
amenities,waste_disposal,1
amenities,waste_transfer_station,1
amenities,water_point,1
amenities,watering_place,1
shops,agrarian,1
shops,alcohol,1
shops,anime,1
shops,antiques,1
shops,appliance,1
shops,art,1
shops,atv,1
shops,baby_goods,1
shops,bag,1
shops,bakery,1
shops,bathroom_furnishing,1
shops,beauty,1
shops,bed,1
shops,beverages,1
shops,bicycle,1
shops,boat,1
shops,bookmaker,1
shops,books,1
shops,boutique,1
shops,brewing_supplies,1
shops,butcher,1
shops,camera,1
shops,candles,1
shops,cannabis,1
shops,car,1
shops,car_parts,1
shops,car_repair,1
shops,caravan,1
shops,carpet,1
shops,charity,1
shops,cheese,1
shops,chemist,1
shops,chocolate,1
shops,clothes,1
shops,coffee,1
shops,collector,1
shops,computer,1
shops,confectionery,1
shops,convenience,1
shops,copyshop,1
shops,cosmetics,1
shops,craft,1
shops,curtain,1
shops,dairy,1
shops,deli,2
shops,department_store,1
shops,doityourself,1
shops,doors,1
shops,dry_cleaning,1
shops,e-cigarette,1
shops,electrical,1
shops,electronics,1
shops,energy,1
shops,erotic,1
shops,fabric,1
shops,farm,1
shops,fashion,1
shops,fashion_accessories,1
shops,fireplace,1
shops,fishing,1
shops,flooring,1
shops,florist,1
shops,frame,1
shops,free_flying,1
shops,frozen_food,1
shops,fuel,1
shops,funeral_directors,1
shops,furniture,1
shops,games,1
shops,garden_centre,1
shops,garden_furniture,1
shops,gas,1
shops,general,1
shops,gift,1
shops,glaziery,1
shops,golf,1
shops,greengrocer,1
shops,hairdresser,1
shops,hairdresser_supply,1
shops,hardware,1
shops,health_food,1
shops,hearing_aids,1
shops,herbalist,1
shops,hifi,1
shops,houseware,1
shops,hunting,1
shops,ice_cream,2
shops,interior_decoration,1
shops,jetski,1
shops,jewelry,1
shops,kiosk,1
shops,kitchen,1
shops,lamps,1
shops,laundry,1
shops,leather,1
shops,lighting,1
shops,locksmith,1
shops,lottery,1
shops,mall,1
shops,massage,1
shops,medical_supply,1
shops,military_surplus,1
shops,mobile_phone,1
shops,model,1
shops,money_lender,1
shops,motorcycle,1
shops,music,1
shops,musical_instrument,1
shops,newsagent,1
shops,nutrition_supplements,1
shops,optician,1
shops,organic,1
shops,outdoor,1
shops,outpost,1
shops,paint,1
shops,party,1
shops,pasta,1
shops,pastry,1
shops,pawnbroker,1
shops,perfumery,1
shops,pest_control,1
shops,pet,1
shops,pet_grooming,1
shops,photo,1
shops,pyrotechnics,1
shops,radiotechnics,1
shops,religion,1
shops,robot,1
shops,scuba_diving,1
shops,seafood,1
shops,second_hand,1
shops,security,1
shops,sewing,1
shops,shoes,1
shops,ski,1
shops,snowmobile,1
shops,spices,1
shops,sports,1
shops,stationery,1
shops,storage_rental,1
shops,supermarket,3
shops,swimming_pool,1
shops,tailor,1
shops,tattoo,1
shops,tea,1
shops,ticket,1
shops,tiles,1
shops,tobacco,1
shops,toys,1
shops,trade,1
shops,trailer,1
shops,travel_agency,1
shops,trophy,1
shops,tyres,1
shops,vacant,1
shops,vacuum_cleaner,1
shops,variety_store,1
shops,video,1
shops,video_games,1
shops,watches,1
shops,water,1
shops,weapons,1
shops,wholesale,1
shops,window_blind,1
shops,windows,1
shops,wine,1
shops,wool,1
